ba_code,ba_name
AEC,PowerSouth Energy Coop
AECI,Associated Electric Coop
AMPL,Anchorage Municipal Light & Power
AVA,Avista Corporation
AVRN,Avangrid Renewables
AZPS,Arizona PSC
BANC,BA of Northern California
BPAT,Bonneville Power Admin.
CEA,Chugach Electric Assn
CHPD,"PUD of Chelan County, WA"
CISO,California ISO
CPLE,Duke Energy Progress East
CPLW,Duke Energy Progress West
CSTO,Constellation Energy
DEAA,Arlington Valley
DOPD,"PUD #1 of Douglas Co., WA"
DUK,Duke Energy Carolinas
EEI,Electric Energy
EPE,El Paso Electric Company
ERCO,Electric Reliability Council of TX
FMPP,Florida Municipal Power Pool
FPC,Duke Energy Florida
FPL,Florida Power & Light
GCPD,"PUD of Grant County, WA"
GRIF,Griffith Energy
GRIS,Gridforce South
GRMA,Gila River Power
GVL,Gainesville Regional Utilities
GWA,NaturEner Power Watch
HECO,Hawaiian Electric
HGMA,New Harquahala Generating Co.
HST,City of Homestead
IID,Imperial Irrigation District
IPCO,Idaho Power Company
ISNE,ISO New England
JEA,Jacksonville Electric (JEA)
LDWP,LA Dept of Water & Power
LGEE,Louisville Gas & Electric
MISO,Midcontinent ISO
NBSO,New Brunswick System Operator
NEVP,Nevada Power Company
NSB,New Smyrna Beach
NWMT,NorthWestern Energy
NYIS,New York ISO
OVEC,Ohio Valley Electric Corporation
PACE,PacifiCorp - East
PACW,PacifiCorp - West
PGE,Portland General Electric
PJM,PJM Interconnection
PNM,PSC of New Mexico
PSCO,PSC of Colorado
PSEI,Puget Sound Energy
SC,South Carolina PSA
SCEG,South Carolina Electric & Gas
SCL,Seattle City Light
SEC,Seminole Electric Cooperative
SEPA,Southeastern Power Admin.
SOCO,Southern Company
SPA,Southwestern Power Admin.
SRP,Salt River Project
SWPP,Southwest Power Pool
TAL,City of Tallahassee
TEC,Tampa Electric Company
TEPC,Tucson Electric Power
TIDC,Turlock Irrigation District
TPWR,City of Tacoma
TVA,Tennessee Valley Authority
WACM,WAPA Rocky Mountain
WALC,WAPA Desert Southwest
WAUW,WAPA Upper Great Plains West
WWA,NaturEner Wind Watch
YAD,Alcoa Power Yadkin Division
